,zat_ori,zat_des,Origin Trips,Destination Trips,Org Nodal Strength,Dest Nodal Strength,Distances,Trips,s_ij,S_ij
271,239,298,5.0,452.0,10.0,967.0,3688.3115700098033,2.0,3414.0,1711.0
272,302,298,11.0,452.0,22.0,967.0,4180.899598813734,2.0,2215.0,1113.0
273,353,298,5.0,452.0,10.0,967.0,6422.343778627408,2.0,5049.0,2538.0
274,370,298,5.0,452.0,11.0,967.0,3960.6023600581516,2.0,3902.0,1968.0
275,283,298,21.0,452.0,41.0,967.0,2695.8974490401383,1.0,2331.0,1164.0
276,324,298,7.0,452.0,15.0,967.0,2401.629354614534,1.0,2360.0,1190.0
277,252,298,4.0,452.0,8.0,967.0,4841.400213343996,1.0,4269.0,2137.0
278,419,298,25.0,452.0,51.0,967.0,5575.706752589026,1.0,3447.0,1738.0
279,26,298,5.0,452.0,10.0,967.0,12671.139703703759,1.0,5703.0,2863.0
280,433,298,14.0,452.0,28.0,967.0,4902.393554513735,1.0,4580.0,2308.0
281,1025,298,7.0,452.0,14.0,967.0,7414.615035378656,1.0,5513.0,2770.0
282,184,298,4.0,452.0,8.0,967.0,5140.961058526749,1.0,3176.0,1596.0
283,427,298,3.0,452.0,6.0,967.0,4994.500406378251,1.0,3960.0,2001.0
284,89,298,7.0,452.0,14.0,967.0,8263.357371770342,1.0,5493.0,2759.0
285,539,298,2.0,452.0,4.0,967.0,7742.448005968086,1.0,4186.0,2110.0
286,7,298,4.0,452.0,8.0,967.0,14869.780239206453,1.0,5784.0,2904.0
287,256,298,5.0,452.0,10.0,967.0,5518.685955786557,1.0,4219.0,2112.0
288,390,298,6.0,452.0,12.0,967.0,5096.871083479451,1.0,3197.0,1608.0
289,280,298,6.0,452.0,12.0,967.0,3699.127296029515,1.0,3952.0,1979.0
290,423,298,2.0,452.0,4.0,967.0,5525.353921530749,1.0,3731.0,1881.0
291,232,298,4.0,452.0,7.0,967.0,3650.431146633606,1.0,3165.0,1589.0
292,180,298,4.0,452.0,8.0,967.0,4255.956028532963,1.0,2849.0,1432.0
293,355,298,5.0,452.0,10.0,967.0,5378.125159040834,1.0,4930.0,2477.0
294,11,298,4.0,452.0,8.0,967.0,13962.671133273041,1.0,5819.0,2921.0
295,225,298,2.0,452.0,4.0,967.0,3567.1270014794973,1.0,3061.0,1536.0
296,179,298,6.0,452.0,12.0,967.0,4037.463406115298,1.0,2509.0,1261.0
297,500,298,3.0,452.0,6.0,967.0,7943.9586210157295,1.0,5206.0,2623.0
298,201,298,3.0,452.0,6.0,967.0,4504.398098155358,1.0,2550.0,1280.0
299,522,298,3.0,452.0,6.0,967.0,6498.778929775288,1.0,3762.0,1897.0
300,375,298,3.0,452.0,6.0,967.0,3248.0134964734093,1.0,2547.0,1284.0
301,421,298,2.0,452.0,5.0,967.0,4609.396000079797,1.0,3259.0,1644.0
302,148,298,4.0,452.0,8.0,967.0,7828.203234667366,1.0,5621.0,2817.0
303,731,298,2.0,452.0,4.0,967.0,13634.274553066407,1.0,5373.0,2709.0
304,314,298,3.0,452.0,5.0,967.0,5451.365566640245,1.0,2508.0,1256.0
305,188,298,2.0,452.0,4.0,967.0,6832.455999049359,1.0,3515.0,1764.0
306,358,298,5.0,452.0,10.0,967.0,3963.1382337085156,1.0,4571.0,2294.0
